nomePais	cidadeDestino	tipoFestival	nomeFestival	precoPessoa	precoDiario	epoca	duracao	imagem	informacoes	Campismo	preco	Ambiente	Região	diversao	palcos
Tailandia	Pattaya	Eletronica	Wonderfruit	100	40	Inverno	4	wonderfruit.jpg	http://wonderfruitfestival.com/#home	Sim	70	Tradicional	Asia	Sim	1
Vietname	Vietname	Variado	Quest Festival	38	22	Outono	3	questfestival.jpg	http://www.questfestival.net/	Sim	30	Tradicional	Asia	Sim	3
Filipinas	Manila	Eletronica	Neverland Manila	74	74	Outono	1	neverlandmanila.jpg	http://nvlmevents.com/	Nao	74	Urbano	Asia	Nao	1
Singapura	Singapura	Eletronica	Zoukout Music Festival	68	38	Inverno	2	zookout.jpg	http://www.zoukout.ph/	Nao	53	Urbano	Asia	Nao	1
Tailandia & Indonesia	Bangkok & Bali	Eletronica	Road to Ultra 	263	100	Verao	3	ultramusicfestival.jpg	https://ultramusicfestival.com/	Nao	181	Urbano	Asia	Nao	1
Malasia & Singapura	Langkawi & Singapura	Eletronica	Its the ship	726	320	Outono	4	itstheship.jpg	http://www.itstheship.com/	Nao	523	Praia	Asia	Sim	1
Tailandia	Bangkok	Eletronica	Maya Music Festival	90	55	Primavera	2	mayafestival.jpg	http://www.mayamusicfestival.com/	Nao	72	Urbano	Asia	Nao	2
Tailandia & Malasia	Phuket & Langkawi	Eletronica	Shipsomnia	700	300	Inverno	4	shipsomnia.jpg	http://www.shipsomnia.com/	Nao	500	Praia	Asia	Sim	1
Tailandia	Khao Yai	Variado	Big Mountain Music Festival	67	42	Outono	2	bigmountainfestival.jpg	http://www.bigmountainmusicfestival.com/	Nao	54	Rural	Asia	Sim	1
Indonesia	Borneo	Variado	Rainforest World Music Festival	237	88	Verao	3	rainforest.jpg	http://rwmf.net/	Nao	162	Tradicional	Asia	Nao	1
Itália	Turim	Eletronica	Movement Torino	50	50	Outono	1	Movement-Italy-Poster.jpg	http://www.movement.it/	Nao	50	Urbano	Europa	Nao	1
Itália	Turim	Variado	Club to Club Torino	90	20	Outono	4	C2CVisual1_2.jpg	http://clubtoclub.it/	Sim	55	Urbano	Europa	Nao	1
Franca	Lomme	Eletronica	N.A.M.E Festival	50	30	Outono	2	NAME.jpg	http://www.lenamefestival.com/	Nao	40	Urbano	Europa	Nao	1
Itália	Bolonha	Eletronica	Robot Festival	45	35	Outono	2	robot-festival.jpg	http://www.robotfestival.it/	Nao	40	Urbano	Europa	Nao	1
Franca	Paris	Variado	Pitchfork Paris	165	65	Outono	3	pitchfork.jpg	http://pitchforkmusicfestival.com/	Nao	115	Urbano	Europa	Nao	1
EUA	Chattahoochee	Variado	TomorrowWorld	300	150	Outono	3	tomorrowworld.jpg	http://www.tomorrowworld.com/	Sim	225	Rural	America do Norte	Sim	14
Holanda	Amesterdao	Variado	Amsterdam Dance Event	450	275	Outono	5	amsterdam-dance-event.jpg	http://www.amsterdam-dance-event.nl/	Sim	362	Urbano	Europa	Nao	1
Australia	Goulburn	Variado	Australian Blues Music Festival	0	0	Primavera	4	australia.jpg	http://www.australianbluesmusicfestival.info/	Nao	0	Rural	Oceania	Nao	4
Australia	Melbourne	Variado	Festival of King Insland	45	20	Primavera	3	australia2.jpg	http://www.foki.com.au/	Sim	32	Urbano	Oceania	Nao	1
Australia	Melbourne	Variado	Paradise Music Festival	45	28	Outono	2	australia3.jpg	http://www.paradisemusic.com.au/	Sim	36	Rural	Oceania	Nao	1
Zimbabwe	Harere	Variado	Harare International Festival of the Arts	0	0	Primavera	6	hifa.jpg	http://www.hifa.co.zw/	Sim	0	Tradicional	Africa	Nao	1
Malawi	Lake Malawi	Variado	Lake of Stars	95	0	Outono	3	malaki.jpg	http://lakeofstars.org/	Sim	47	Praia	Africa	Nao	1
Brasil	Sao Paulo	Fado	Festival de Fado	180	40	Outono	3	cuca.jpg	http://festivalfadobrasil.com/#	Nao	110	Urbano	America do Sul	Nao	1
Brasil	Rio de Janeiro	Fado	Festival do Fado Brasil	0	0	Verao	4	fado.jpg	http://www.everythingisnew.pt/festival-do-fado-brasil	Nao	0	Urbano	America do Sul	Nao	1
Argentina	Salta	Pop	Pop Festival	0	160	Primavera	1	pop.jpg	https://pt.wikipedia.org/wiki/Pop_Festival	Nao	80	Urbano	America do Sul	Nao	2
Alemanha	Berlim	Eletronica	Club Transmediale	0	20	Inverno	7	clube.jpg	http://www.ctm-festival.de/news/	Nao	10	Urbano	Europa	Nao	1
Alemanha	Suderholz	Rock	Force Attack	0	30	Verao	3	forceattack.jpg	http://www.forceattack.de/	Sim	15	Rural	Europa	Sim	1
Alemanha	Center Parc Bispinger Heide	Eletronica	Baltic Soul Weekender	950	300	Primavera	3	baltic.jpg	http://www.baltic-soul.de/	Sim	625	Urbano	Europa	Nao	1
Alemanha	Larz	Eletronica	Fusion Festival	75	30	Verao	3	fusion.jpg	http://www.fusion-festival.de/	Sim	52	Rural	Europa	Sim	3
Alemanha	Hidesshiem	Variado	Mera Luna Festival	385	94	Verao	2	meraluna.jpg	http://www.meraluna.de/	Sim	239	Rural	Europa	Sim	2
Alemanha	Whitsuntide	Variado	Wave-Gotik-Treffen	280	120	Primavera	4	gotik2.jpg	http://www.wave-gotik-treffen.de/english/	Sim	200	Rural	Europa	Sim	1
Austria	Danubio	Rock	Donauinselfest	0	0	Verao	3	Donauinselfest.jpg	https://2016.donauinselfest.at/	Sim	0	Fluvial	Europa	Sim	5
Austria	Arcadia Musikagentur	Rock	Nuke Musikfestival	110	0	Verao	2	NukeMusikfestival.jpg	http://www.nuke.at/	Sim	55	Urbano	Europa	Sim	1
Brasil	Rio Grande do Sul	Variado	Planeta Atlantida	245	97	Primavera	2	PlanetaAtlantida.jpg	https://www.planetaatlantida2016.com.br/	Sim	171	Urbano	America do Sul	Nao	5
Australia	Sydney	Variado	Big Day Out	0	0	Inverno	1	bigdayout.jpg	http://www.bigdayout.com/	Nao	0	Urbano	Oceania	Nao	2
Nova Zelandia	Gisborn	Variado	Rhythm and Vines	170	60	Inverno	3	rhythmvines.jpg	http://www.rhythmandvines.co.nz/	Sim	115	Rural	Oceania	Nao	1
EUA	Brooklyn	Hip-Hop	Brooklyn Hip-Pop Festival	150	50	Verao	4	2013-bhf-logo.jpg	http://www.bkhiphopfestival.com/	Nao	100	Urbano	America do Norte	Nao	1
